Janr,Nesriyyat,Cild,Muellif,Sehife sayi,Dil,Qiymet
Roman,Qanun Nəşriyyatı,Yumşaq,Qaraqan,208.0,Azərbaycan,7.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Jose Mauro de Vasconcelos,200.0,Azərbaycan,5.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Antoni Börcess,272.0,Azərbaycan,6.39
Memuar,Qanun Nəşriyyatı,Yumşaq,Şahvələd Köçərli,192.0,Azərbaycan,4.0
Klassika,Qanun Nəşriyyatı,Yumşaq,Andrey Platonov,80.0,Azərbaycan,2.79
Klassika,Qanun Nəşriyyatı,Yumşaq,Cəfər Cabbarlı,96.0,Azərbaycan,2.79
Klassika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Uilyam Şekspir,208.0,Azərbaycan,5.99
Uşaq ədəbiyyatı,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Ernst Hemenquey,104.0,Azərbaycan,3.19
Bioqrafiya,Qanun Nəşriyyatı,Bərk,İlkin Rüstəmzadə,400.0,Azərbaycan,7.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Nizami Gəncəvi,384.0,Azərbaycan,10.39
Tarix,Qanun Nəşriyyatı,Yumşaq,Mirzə Camal Cavanşir Qarabaği,96.0,Azərbaycan,2.62
Tarix,Qanun Nəşriyyatı,Yumşaq,Ahmet Efe,288.0,Azərbaycan,7.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Nizami Gəncəvi,464.0,Azərbaycan,10.39
Uşaq ədəbiyyatı,Qanun Nəşriyyatı,Yumşaq,Reyçel Rene Rassel,288.0,Azərbaycan,7.99
Klassika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Uilyam Şekspir,176.0,Azərbaycan,4.79
Tarix,Qanun Nəşriyyatı,Bərk,Məhəmməd Əmin Rəsulzadə,680.0,Azərbaycan,12.39
Detektiv,Qanun Nəşriyyatı,Yumşaq,Nazlı Çələbi,256.0,Azərbaycan,7.99
